,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,diag_eps
38,-2507.1861842843896,-2507.097461043516,0.9983485323922088,0.9983485323922088,1.9999999999998916,0.436251163482666,6.131519079208374,10.986257076263428,11.286428928375244,35.224353075027466,2
39,-2543.6296717269406,-2543.6296717269406,1.0002977813585638,1.0002977813585638,1.9999999999994924,0.37402892112731934,5.0800721645355225,10.81255292892456,11.388034105300903,35.126418113708496,2
40,-2491.3556237697544,-2491.0760703566566,-0.016846504915127736,-0.016846504915085325,0.9999999999996824,0.3159041404724121,6.030249118804932,11.291821002960205,16.83353614807129,35.95991611480713,1
41,-2480.2746367141385,-2479.372868093779,-0.016497621088438996,-0.016497621088191416,0.9999999999995328,0.42863893508911133,4.329798936843872,10.753626108169556,16.623528003692627,35.25222182273865,1
42,-2485.4046881515305,-2484.9127754680376,-0.016065841997619734,-0.016065841997514152,0.999999999999874,0.439223051071167,6.01374888420105,11.228916883468628,16.73273229598999,36.03824424743652,1
43,-2484.338427086001,-2484.338427086001,-0.01596836455894135,-0.01596836455866746,0.999999999999676,0.44039297103881836,4.977772235870361,10.993498802185059,16.451969623565674,35.914332151412964,1
44,-2481.3130349534945,-2481.311286379101,-0.02320251403567375,-0.012217960574627762,0.9999999999996952,0.13833117485046387,4.823693037033081,10.770143985748291,16.7846097946167,35.24272894859314,1
45,-2468.916159872118,-2468.7166721259837,-0.023643090425485624,-0.012172190931789895,0.999999999999711,0.2014601230621338,501.93379497528076,1910.4839689731598,2700.24077296257,37.400577783584595,1
46,-2509.1157510313687,-2509.05432700784,-0.011304063345871196,-0.01130406334578038,0.9999999999997726,0.026710987091064453,6.044302701950073,11.247693061828613,16.497286796569824,35.913877964019775,1
47,-2492.6461456812226,-2492.6461456812226,-0.019415083433366176,-0.010986435008848217,0.9999999999994634,0.43769025802612305,5.10341477394104,11.304181814193726,17.078022003173828,35.93870210647583,1
48,-2500.289720486054,-2500.289720486054,-0.01078123807297282,-0.010781238072659627,0.9999999999994744,0.4349801540374756,5.154004096984863,11.172725200653076,16.40774416923523,36.078627824783325,1
49,-2489.509984862725,-2489.3799240148787,-0.010676264772298327,-0.010676264771982469,0.9999999999995777,0.447650671005249,6.559056043624878,19.29816699028015,1869.5419161319733,6306.143901109695,1
50,-2498.8408822724227,-2498.8408822724227,-0.010068384831545929,-0.010068384831543598,0.9999999999997028,0.42824816703796387,5.043927192687988,11.044095993041992,13.54274296760559,35.265074014663696,1
