,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,eps
111,-5.292950641439791,-5.154629734475718,-3.3287320449817352,-2.9138885731538307,0.5000000000000004,2.7894973754882812e-05,0.00015211105346679688,0.0001499652862548828,0.0002658367156982422,5.1021575927734375e-05,0.5
112,-3.795523640232803,-3.795523640232803,-3.4199706718762024,-2.7839599935970396,0.4999999999999991,2.8133392333984375e-05,8.106231689453125e-05,0.0001399517059326172,0.000247955322265625,5.1021575927734375e-05,0.5
113,-6.936099426152278,-6.936099426152278,-4.216491726799058,-2.71652941237913,0.5021860312050184,3.504753112792969e-05,8.106231689453125e-05,0.0001537799835205078,0.0002560615539550781,4.982948303222656e-05,0.5
114,-5.13495211391231,-5.13495211391231,-2.700834966521538,-2.700834966521538,0.49999999999999933,2.6702880859375e-05,8.034706115722656e-05,0.00014591217041015625,0.00025582313537597656,4.887580871582031e-05,0.5
115,-5.209626943535077,-4.984261854107388,-4.4001142916887215,-2.6932591726834842,0.4999999999999997,2.6941299438476562e-05,0.0001342296600341797,0.00015091896057128906,0.0002598762512207031,5.030632019042969e-05,0.5
116,-3.89651476981759,-3.8493842097915447,-2.7497979200306917,-2.6023757551274214,0.4999999999999998,2.7894973754882812e-05,0.00012993812561035156,0.0001480579376220703,0.0002579689025878906,4.1961669921875e-05,0.5
117,-4.534014026639478,-4.534014026639478,-3.467329526689997,-2.5507897617540025,0.5000000000000001,2.8133392333984375e-05,9.679794311523438e-05,0.00015306472778320312,0.00027298927307128906,4.9114227294921875e-05,0.5
118,-5.476549886873698,-5.476549886873698,-3.067091527754261,-2.535974791217147,0.4999999999999994,2.7179718017578125e-05,8.606910705566406e-05,0.0001480579376220703,0.0002639293670654297,4.506111145019531e-05,0.5
119,-7.112424005608393,-7.1006884965585595,-4.802903700497353,-2.4267387583418296,0.49999999999999906,2.7179718017578125e-05,0.00013208389282226562,0.00014495849609375,0.0002570152282714844,4.792213439941406e-05,0.5
120,-3.720712259261703,-3.573893933841317,-2.8142690212940447,-2.348895332069793,0.4999999999999998,2.7894973754882812e-05,0.0001468658447265625,0.0001461505889892578,0.0002639293670654297,4.9114227294921875e-05,0.5
121,-5.275467629722982,-5.142510480463073,-4.399473836704698,-2.293097480650392,0.4999999999999996,2.6941299438476562e-05,0.0001289844512939453,0.00015616416931152344,0.00025773048400878906,5.125999450683594e-05,0.5
122,-4.917063463406352,-4.917063463406352,-2.6770111181952063,-2.2759699337120334,0.4999999999999996,3.695487976074219e-05,8.296966552734375e-05,0.0001461505889892578,0.0002758502960205078,4.696846008300781e-05,0.5
123,-3.267786840701725,-3.267786840701725,-2.8381173309118317,-2.2588814324861595,0.4999999999999999,2.6702880859375e-05,7.915496826171875e-05,0.00014495849609375,0.00026798248291015625,4.7206878662109375e-05,0.5
124,-7.001904449933947,-7.001904449933947,-3.130357287762056,-2.2198920809759954,0.49999999999999994,2.7179718017578125e-05,7.987022399902344e-05,0.00014400482177734375,0.0002570152282714844,4.792213439941406e-05,0.5
125,-3.039590461891529,-2.9132685136926963,-2.4609313451910864,-2.2128785833601095,0.4999999999999997,2.7894973754882812e-05,0.00013518333435058594,0.00014400482177734375,0.00026702880859375,5.1021575927734375e-05,0.5
126,-3.025833620319202,-3.025833620319202,-2.2551207107766857,-2.20495390062926,0.49999999999999967,3.981590270996094e-05,7.700920104980469e-05,0.0001518726348876953,0.00027298927307128906,4.887580871582031e-05,0.5
127,-5.079508513821652,-4.460622323729571,-2.8227780938818903,-2.2018181581515233,0.5000000000000002,2.8133392333984375e-05,0.00013780593872070312,0.00014591217041015625,0.00026917457580566406,4.982948303222656e-05,0.5
128,-6.004059520375367,-6.004059520375367,-2.2632149468608884,-2.1852249653008418,0.49999999999999956,2.7179718017578125e-05,8.106231689453125e-05,0.00014591217041015625,0.0002651214599609375,5.888938903808594e-05,0.5
129,-4.652931221246315,-4.652931221246315,-2.6022396018747305,-2.1703707027064287,0.49999999999999967,2.7894973754882812e-05,7.82012939453125e-05,0.00014495849609375,0.0002570152282714844,4.887580871582031e-05,0.5
130,-4.521806205690622,-3.870506967979777,-3.7729896008945136,-2.14158024280637,0.49999999999999994,2.6941299438476562e-05,0.00013303756713867188,0.00014281272888183594,0.0002548694610595703,4.506111145019531e-05,0.5
131,-5.582501263698617,-5.285267024142483,-2.6183239826832394,-2.1395758637468827,0.4999999999999996,2.7179718017578125e-05,0.00013208389282226562,0.00014281272888183594,0.0002570152282714844,4.506111145019531e-05,0.5
132,-3.3828702330467695,-3.3828702330467695,-2.7904642782612763,-2.128516845735656,0.4999999999999999,2.6941299438476562e-05,8.416175842285156e-05,0.00014495849609375,0.00027680397033691406,5.316734313964844e-05,0.5
133,-3.668714585821086,-3.668714585821086,-2.703356577331891,-2.1224398813808674,0.4999999999999996,2.6941299438476562e-05,7.891654968261719e-05,0.0001571178436279297,0.0002601146697998047,4.887580871582031e-05,0.5
134,-6.195771024911055,-6.195771024911055,-2.516604187484249,-2.1186307903650414,0.5000000000000002,2.7894973754882812e-05,8.177757263183594e-05,0.00015115737915039062,0.00026106834411621094,5.793571472167969e-05,0.5
135,-5.698908501333228,-5.410908076240612,-2.3269276739867477,-2.0843693012335662,0.49999999999999956,2.7894973754882812e-05,0.0001308917999267578,0.00014495849609375,0.00026702880859375,4.506111145019531e-05,0.5
136,-4.917365018146937,-4.917365018146937,-4.156226814870667,-2.0830419043120343,0.49999999999999967,2.7179718017578125e-05,7.772445678710938e-05,0.00014495849609375,0.0002567768096923828,4.8160552978515625e-05,0.5
137,-3.5801957024492084,-3.5801957024492084,-2.320021347975035,-2.065422662811036,0.49999999999999967,2.7894973754882812e-05,7.915496826171875e-05,0.00014495849609375,0.0002560615539550781,5.078315734863281e-05,0.5
138,-3.0893187263789086,-3.0893187263789086,-2.0592493527345934,-2.035677151559434,0.4999999999999996,4.100799560546875e-05,8.988380432128906e-05,0.00015926361083984375,0.0002586841583251953,5.698204040527344e-05,0.5
139,-6.020125458913688,-5.539539260644585,-2.67297010002005,-2.026659074734555,0.49999999999999944,2.7894973754882812e-05,0.0001289844512939453,0.00014472007751464844,0.0002682209014892578,5.1975250244140625e-05,0.5
140,-3.3664053248933277,-3.3664053248933277,-2.015294193193813,-1.9627285388569606,0.4999999999999996,2.9087066650390625e-05,8.20159912109375e-05,0.00014901161193847656,0.0002620220184326172,4.887580871582031e-05,0.5
141,-5.2208139261950395,-5.2208139261950395,-2.2171972319293753,-1.9416431900432407,0.49999999999999983,2.7179718017578125e-05,8.606910705566406e-05,0.00014591217041015625,0.00026702880859375,4.696846008300781e-05,0.5
142,-4.245396881460081,-3.71376239585007,-2.63730283091569,-1.9075091312283377,0.4999999999999995,2.7179718017578125e-05,0.00013113021850585938,0.0001430511474609375,0.00026607513427734375,4.673004150390625e-05,0.5
143,-4.066972983313441,-4.066972983313441,-2.567462443327063,-1.839902885667359,0.4999999999999997,2.6941299438476562e-05,8.678436279296875e-05,0.00014734268188476562,0.0002570152282714844,4.410743713378906e-05,0.5
144,-5.481969068543904,-5.481969068543904,-3.1669758038592635,-1.801185683021422,0.49999999999999956,2.8133392333984375e-05,7.891654968261719e-05,0.0001609325408935547,0.0002651214599609375,5.1975250244140625e-05,0.5
145,-4.421643195941201,-4.421643195941201,-3.5715414440976434,-1.794192755860191,0.4999999999999998,2.8133392333984375e-05,7.987022399902344e-05,0.0001552104949951172,0.00027179718017578125,4.9114227294921875e-05,0.5
146,-4.993746527134171,-4.326909102167582,-3.149572413734152,-1.7886141664437263,0.4999999999999998,2.8133392333984375e-05,0.00013685226440429688,0.00015592575073242188,0.00026106834411621094,4.887580871582031e-05,0.5
147,-3.1896241876611064,-3.1896241876611064,-2.6928728993922153,-1.7304402034064816,0.4999999999999998,3.314018249511719e-05,7.987022399902344e-05,0.0001442432403564453,0.00026702880859375,4.291534423828125e-05,0.5
148,-5.300506767737549,-5.300506767737549,-3.761494500275188,-1.6879189489956459,0.49999999999999933,2.6702880859375e-05,7.915496826171875e-05,0.0001480579376220703,0.00026488304138183594,4.8160552978515625e-05,0.5
149,-3.347850991398184,-3.347850991398184,-1.5810250293993722,-1.5462774724047603,0.4999999999999996,2.8133392333984375e-05,7.987022399902344e-05,0.00014710426330566406,0.0002639293670654297,4.696846008300781e-05,0.5
150,-5.481907377711569,-5.481907377711569,-2.473689363124506,-1.5402619913500373,0.4999999999999999,2.6941299438476562e-05,8.702278137207031e-05,0.00015425682067871094,0.0002658367156982422,4.887580871582031e-05,0.5
151,-4.29621767041036,-4.29621767041036,-2.438339285352745,-1.5276838495896956,0.4999999999999997,2.7894973754882812e-05,8.392333984375e-05,0.00014519691467285156,0.0002570152282714844,4.57763671875e-05,0.5
152,-6.395320527348406,-5.046131552896435,-4.304926247815548,-1.5247848910432538,0.5011172780181514,3.4809112548828125e-05,0.00013399124145507812,0.00014901161193847656,0.0002570152282714844,4.887580871582031e-05,0.5
153,-3.5529846883517435,-3.3852760148303056,-1.6736926734456845,-1.5176530888081736,0.49999999999999983,3.3855438232421875e-05,0.00013017654418945312,0.00014591217041015625,0.0002560615539550781,4.291534423828125e-05,0.5
154,-6.4297338865406,-6.371264568963181,-1.891665875539398,-1.4619714176078364,0.49999999999999933,2.9087066650390625e-05,0.0001327991485595703,0.00014710426330566406,0.0002598762512207031,4.8160552978515625e-05,0.5
155,-4.096481522013534,-4.012691546503134,-2.032157006087185,-1.4615156101031852,0.49999999999999956,2.7894973754882812e-05,0.00013518333435058594,0.00014495849609375,0.00026297569274902344,4.601478576660156e-05,0.5
156,-4.200857619001459,-3.4473742399496325,-2.076852542734278,-1.4361013027899916,0.49999999999999883,3.0994415283203125e-05,0.00012993812561035156,0.00013899803161621094,0.0002510547637939453,4.792213439941406e-05,0.5
157,-6.901090816118899,-6.117699158448747,-1.9555165152165865,-1.4336903818344455,0.49999999999999967,3.3855438232421875e-05,0.00014400482177734375,0.0001437664031982422,0.00029921531677246094,4.9114227294921875e-05,0.5
158,-5.4960749543489875,-5.4960749543489875,-2.2376200826472297,-1.368809629630389,0.4999999999999997,2.7894973754882812e-05,8.702278137207031e-05,0.00016188621520996094,0.0002541542053222656,4.792213439941406e-05,0.5
159,-5.383138701487343,-5.383138701487343,-2.644472854149756,-1.2647661666892267,0.4999999999999997,2.8133392333984375e-05,8.678436279296875e-05,0.00015211105346679688,0.00026702880859375,4.696846008300781e-05,0.5
160,-3.4804362559164357,-3.4804362559164357,-2.5202668592172914,-1.2123900576815645,0.4999999999999992,2.8133392333984375e-05,7.891654968261719e-05,0.00014519691467285156,0.00025081634521484375,4.506111145019531e-05,0.5
161,-4.96094277839482,-4.8873487052704085,-2.0525463613149597,-1.1882238877634568,0.4999999999999998,2.6941299438476562e-05,0.000141143798828125,0.0001399517059326172,0.0002567768096923828,4.38690185546875e-05,0.5
